"","GENENAME","estimate","se","p","fdr"
"A1BG","A1BG",-0.0757430936613276,0.144550363892244,0.0386207148338148,0.0421745292354952
"A2M","A2M",0.591226797981802,0.400700650397851,3.32620226795821e-05,4.62574898884292e-05
"A4GALT","A4GALT",-1.00648819559374,0.443221772803827,6.67657618268216e-07,1.05134655777835e-06
"AAAS","AAAS",-0.236247390122852,0.0382500796219924,6.24919044447237e-08,1.05404724189535e-07
"AACS","AACS",-0.252430498655183,0.0881747640744689,3.29220623121366e-06,4.94350079098477e-06
"AAGAB","AAGAB",-0.11255181684275,0.062968254915544,5.20075734528387e-05,7.12530095314386e-05
"AAK1","AAK1",0.270458650974777,0.0959839828264971,0.00260703933268167,0.00312597856118766
"AAMP","AAMP",0.11912877632185,0.0665371715092204,0.000292871318645497,0.000378630097299593
"AARS","AARS",-0.264828183054745,0.181764236626447,2.29275067755175e-09,4.26749199607482e-09
"AARS2","AARS2",-0.389942124293865,0.149544115364713,1.82668243446897e-24,7.43350462136209e-24
"AARSD1","AARSD1",-0.447146661380329,0.0582435821946875,2.43747836828835e-18,7.43740195276498e-18
"AASDH","AASDH",-0.33218714433218,0.111567571644529,4.22380577166132e-16,1.15816540198306e-15
"AASDHPPT","AASDHPPT",-0.168067303115499,0.042244775814859,0.000550779245958972,0.000697735777421205
"AASS","AASS",-1.77759093168456,0.69114831935381,2.5429431372048e-17,7.37899857682807e-17
"AATK","AATK",1.7145431745843,0.144919185311538,3.28130465977889e-41,2.65515767269532e-40
"ABAT","ABAT",0.880488735211372,0.206047992634864,2.40742155894234e-35,1.52342045805905e-34
"ABCA1","ABCA1",1.20828562445124,0.357044624877843,3.97108051358303e-29,1.94999056737536e-28
"ABCA10","ABCA10",0.269983637444405,0.0998740704773051,0.150157826882851,0.157252209518439
"ABCA13","ABCA13",-0.765070584771302,0.550560941438839,2.01194162527906e-07,3.28011795174588e-07
"ABCA2","ABCA2",-1.03058230702067,0.178393198458693,9.14839985480216e-46,8.74645811017752e-45
"ABCA3","ABCA3",0.178355078422756,0.103748784213641,0.499851436382863,0.506360140192785
"ABCA5","ABCA5",0.215381106043509,0.0985418274998691,0.00838323609523383,0.00966259893885623
"ABCA6","ABCA6",0.869683799603634,0.326831401905667,3.68044408085375e-08,6.30426333204809e-08
"ABCA7","ABCA7",0.653963736784261,0.120988550512148,2.6028365248639e-20,8.69779987519793e-20
"ABCA9","ABCA9",-0.0177772843505775,0.254822792631832,0.020828191159706,0.023237225548222
"ABCB1","ABCB1",-0.37322502877461,0.224695230163759,0.0113480688757846,0.012924702308723
"ABCB10","ABCB10",0.309829106700484,0.090122913742734,1.02035171519005e-06,1.58492058800825e-06
"ABCB4","ABCB4",1.49731821737661,0.191286631821472,7.6812529170106e-28,3.5868949969077e-27
"ABCB6","ABCB6",0.129639899153226,0.194935408920599,0.0191999027441411,0.0214830271069291
"ABCB7","ABCB7",-0.32524152916865,0.0538528788058434,4.74247329675898e-18,1.4258565206194e-17
"ABCB8","ABCB8",-0.0770801738304183,0.052054832566316,0.143647477832361,0.150619796391701
"ABCB9","ABCB9",-0.445963449548052,0.0554308075459159,2.13365271423375e-24,8.65015948825759e-24
"ABCC1","ABCC1",-0.929818028371829,0.129949511772827,6.01098364448186e-37,4.08150247120751e-36
"ABCC10","ABCC10",0.231955488051845,0.0657294692513341,2.06128335968109e-05,2.9149882179261e-05
"ABCC2","ABCC2",-0.363393037931457,0.155757874457485,7.32053167783861e-05,9.90297631109365e-05
"ABCC3","ABCC3",2.50152027401375,0.162095675129757,7.49880398217435e-51,8.47656826209129e-50
"ABCC4","ABCC4",-0.689697565399113,0.175760989281755,1.11708074140019e-12,2.5404302760578e-12
"ABCC5","ABCC5",-0.10993577423555,0.138730296419543,0.000747576086857693,0.000937660501777358
"ABCC6","ABCC6",-0.146204691842715,0.205721775537461,0.00176849681100996,0.00214975669336719
"ABCD1","ABCD1",1.44835721174482,0.134851993880982,1.15977823485275e-102,6.90242016472615e-101
"ABCD2","ABCD2",1.33024148606742,0.156424240670691,1.21981857677403e-17,3.60106659705884e-17
"ABCD3","ABCD3",0.383645631195297,0.0709127785678137,2.69294391726796e-11,5.67229011630517e-11
"ABCD4","ABCD4",-0.544465446190702,0.067345102593719,5.36991065508771e-40,4.15321939749896e-39
